number,AllEven,Last4Increasing,NumberDigitExceptFirst,NumberDigit,Lap doi,Taxi,XXX,YYY,TuQuy
0325018379,False,False,8,8,False,False,False,False,False
0325019368,False,False,8,8,False,False,False,False,False
0325019586,False,False,8,8,False,False,False,False,False
0325019986,False,False,8,8,False,False,False,False,False
0325020588,False,False,5,5,False,False,False,False,False
0325020700,False,False,5,5,False,False,False,False,False
0325020900,False,False,5,5,False,False,False,False,False
0325021015,False,False,5,5,False,False,False,False,False
0325021302,False,False,5,5,False,False,False,False,False
0325021566,False,False,6,6,False,False,False,False,False
0325021579,False,False,7,7,False,False,False,False,False
0325021886,False,False,7,7,False,False,False,False,False
0325022259,False,False,5,5,False,False,False,False,False
0325022539,False,False,5,5,False,False,False,False,False
0325022739,False,False,6,6,False,False,False,False,False
0325022786,False,False,7,7,False,False,False,False,False
0325022788,False,False,6,6,False,False,False,False,False
0325023286,False,False,6,6,False,False,False,False,False
0325023539,False,False,5,5,False,False,False,False,False
0325023663,False,False,5,5,False,False,False,False,False
0325023768,False,False,7,7,False,False,False,False,False
0325024004,False,False,5,5,False,False,False,False,False
0325024324,False,False,5,5,False,False,False,False,False
0325024368,False,False,7,7,False,False,False,False,False
0325025386,False,False,6,6,False,False,False,False,False
0325025388,False,False,5,5,False,False,False,False,False
0325025639,False,False,6,6,False,False,False,False,False
0325026286,False,False,6,6,False,False,False,False,False
0325026661,False,False,6,6,False,False,False,False,False
0325027444,False,False,6,6,False,False,False,False,False
0325027579,False,False,6,6,False,False,False,False,False
0325027739,False,False,6,6,False,False,False,False,False
0325027838,False,False,6,6,False,False,False,False,False
0325028239,False,False,6,6,False,False,False,False,False
0325030330,False,False,4,4,False,False,False,False,False
0325030381,False,False,6,6,False,False,False,False,False
0325030482,False,False,6,6,False,False,False,False,False
0325030584,False,False,6,6,False,False,False,False,False
0325030591,False,False,6,6,False,False,False,False,False
0325030639,False,False,6,6,False,False,False,False,False
0325030706,False,False,6,6,False,False,False,False,False
0325030803,False,False,5,5,False,False,False,False,False
0325030891,False,False,7,7,False,False,False,False,False
0325030908,False,False,6,6,False,False,False,False,False
0325031014,False,False,6,6,False,False,False,False,False
0325031294,False,False,7,7,False,False,False,False,False
0325032286,False,False,6,6,False,False,False,False,False
0325032386,False,False,6,6,False,False,False,False,False
0325033239,False,False,5,5,False,False,False,False,False
0325033586,False,False,6,6,False,False,False,False,False
0325034299,False,False,6,6,False,False,False,False,False
0325034939,False,False,6,6,False,False,False,False,False
0325034986,False,False,8,8,False,False,False,False,False
0325035032,False,False,4,4,False,False,False,False,False
0325035552,False,False,4,4,False,False,False,False,False
0325036436,False,False,6,6,False,False,False,False,False
0325037086,False,False,7,7,False,False,False,False,False
0325037586,False,False,7,7,False,False,False,False,False
0325037889,False,False,7,7,False,False,False,False,False
0325038118,False,False,6,6,False,False,False,False,False
0325039388,False,False,6,6,False,False,False,False,False
0325040009,False,False,6,6,False,False,False,False,False
0325040185,False,False,7,7,False,False,False,False,False
0325040186,False,False,8,8,False,False,False,False,False
0325040285,False,False,6,6,False,False,False,False,False
0325040781,False,False,8,8,False,False,False,False,False
0325040786,False,False,8,8,False,False,False,False,False
0325040987,False,False,8,8,False,False,False,False,False
0325041014,False,False,6,6,False,False,False,False,False
0325041170,False,False,7,7,False,False,False,False,False
0325041966,False,False,8,8,False,False,False,False,False
0325041968,False,False,9,9,False,False,False,False,False
0325042234,False,False,5,5,False,False,False,False,False
0325043568,False,False,7,7,False,False,False,False,False
0325043989,False,False,7,7,False,False,False,False,False
0325044004,False,False,5,5,False,False,False,False,False
0325044066,False,False,6,6,False,False,False,False,False
0325044179,False,False,8,8,False,False,False,False,False
0325044234,False,False,5,5,False,False,False,False,False
0325044420,False,False,5,5,False,False,False,False,False
0325044434,False,False,5,5,False,False,False,False,False
0325044465,False,False,6,6,False,False,False,False,False
0325044839,False,False,7,7,False,False,False,False,False
0325044878,False,False,7,7,False,False,False,False,False
0325044879,False,False,8,8,False,False,False,False,False
0325045368,False,False,7,7,False,False,False,False,False
0325045775,False,False,6,6,False,False,False,False,False
0325046186,False,False,8,8,False,False,False,False,False
0325046239,False,False,7,7,False,False,False,False,False
0325046399,False,False,7,7,False,False,False,False,False
0325046661,False,False,7,7,False,False,False,False,False
0325047268,False,False,8,8,False,False,False,False,False
0325047337,False,False,6,6,False,False,False,False,False
0325048286,False,False,7,7,False,False,False,False,False
0325048339,False,False,7,7,False,False,False,False,False
0325049166,False,False,8,8,False,False,False,False,False
0325049886,False,False,8,8,False,False,False,False,False
0325050479,False,False,7,7,False,False,False,False,False
0325050639,False,False,6,6,False,False,False,False,False
0325050697,False,False,7,7,False,False,False,False,False
0325050704,False,False,6,6,False,False,False,False,False
0325050739,False,False,6,6,False,False,False,False,False
0325050800,False,False,5,5,False,False,False,False,False
0325050803,False,False,5,5,False,False,False,False,False
0325050969,False,False,6,6,False,False,False,False,False
0325051204,False,False,6,6,False,False,False,False,False
0325051488,False,False,7,7,False,False,False,False,False
0325051539,False,False,6,6,False,False,False,False,False
0325051768,False,False,8,8,False,False,False,False,False
0325051839,False,False,7,7,False,False,False,False,False
0325052179,False,False,7,7,False,False,False,False,False
0325052986,False,False,7,7,False,False,False,False,False
0325053179,False,False,7,7,False,False,False,False,False
0325054179,False,False,8,8,False,False,False,False,False
0325054286,False,False,7,7,False,False,False,False,False
0325054679,False,False,8,8,False,False,False,False,False
0325055005,False,False,4,4,False,False,False,False,False
0325055039,False,False,5,5,False,False,False,False,False
0325055366,False,False,5,5,False,False,False,False,False
0325056239,False,False,6,6,False,False,False,False,False
0325056399,False,False,6,6,False,False,False,False,False
0325056599,False,False,6,6,False,False,False,False,False
0325057299,False,False,6,6,False,False,False,False,False
0325057557,False,False,5,5,False,False,False,False,False
0325057639,False,False,7,7,False,False,False,False,False
0325058669,False,False,7,7,False,False,False,False,False
0325060275,False,False,6,6,False,False,False,False,False
0325060279,False,False,7,7,False,False,False,False,False
0325060284,False,False,7,7,False,False,False,False,False
0325060313,False,False,6,6,False,False,False,False,False
0325060488,False,False,7,7,False,False,False,False,False
0325060692,False,False,6,6,False,False,False,False,False
0325060700,False,False,6,6,False,False,False,False,False
0325060797,False,False,7,7,False,False,False,False,False
0325060968,False,False,7,7,False,False,False,False,False
0325061007,False,False,7,7,False,False,False,False,False
0325061080,False,False,7,7,False,False,False,False,False
0325061879,False,False,9,9,False,False,False,False,False
0325061886,False,False,7,7,False,False,False,False,False
0325061970,False,False,8,8,False,False,False,False,False
0325062086,False,False,6,6,False,False,False,False,False
0325062486,False,False,7,7,False,False,False,False,False
0325062939,False,False,6,6,False,False,False,False,False
0325063086,False,False,6,6,False,False,False,False,False
0325063179,False,False,8,8,False,False,False,False,False
0325063883,False,False,6,6,False,False,False,False,False
0325063969,False,False,6,6,False,False,False,False,False
0325065699,False,False,6,6,False,False,False,False,False
0325066784,False,False,8,8,False,False,False,False,False
0325066878,False,False,7,7,False,False,False,False,False
0325067186,False,False,8,8,False,False,False,False,False
0325067227,False,False,6,6,False,False,False,False,False
0325067639,False,False,7,7,False,False,False,False,False
0325067839,False,False,8,8,False,False,False,False,False
0325068439,False,False,8,8,False,False,False,False,False
0325068586,False,False,6,6,False,False,False,False,False
0325068778,False,False,7,7,False,False,False,False,False
0325068887,False,False,7,7,False,False,False,False,False
0325069586,False,False,7,7,False,False,False,False,False
0325070108,False,False,7,7,False,False,False,False,False
0325070304,False,False,6,6,False,False,False,False,False
0325070400,False,False,6,6,False,False,False,False,False
0325070575,False,False,5,5,False,False,False,False,False
0325070603,False,False,6,6,False,False,False,False,False
0325070905,False,False,6,6,False,False,False,False,False
0325070968,False,False,8,8,False,False,False,False,False
0325071198,False,False,8,8,False,False,False,False,False
0325071568,False,False,8,8,False,False,False,False,False
0325071579,False,False,7,7,False,False,False,False,False
0325071899,False,False,8,8,False,False,False,False,False
0325072339,False,False,6,6,False,False,False,False,False
0325072889,False,False,7,7,False,False,False,False,False
0325075168,False,False,8,8,False,False,False,False,False
0325075768,False,False,7,7,False,False,False,False,False
0325076116,False,False,7,7,False,False,False,False,False
0325076199,False,False,8,8,False,False,False,False,False
0325077066,False,False,6,6,False,False,False,False,False
0325077760,False,False,6,6,False,False,False,False,False
0325077764,False,False,7,7,False,False,False,False,False
0325078786,False,False,7,7,False,False,False,False,False
0325079488,False,False,8,8,False,False,False,False,False
0325079986,False,False,8,8,False,False,False,False,False
0325079989,False,False,7,7,False,False,False,False,False
0325079990,False,False,6,6,False,False,False,False,False
0325080039,False,False,6,6,False,False,False,False,False
0325080207,False,False,6,6,False,False,False,False,False
0325080375,False,False,6,6,False,False,False,False,False
0325080408,False,False,6,6,False,False,False,False,False
0325080489,False,False,7,7,False,False,False,False,False
0325080495,False,False,7,7,False,False,False,False,False
0325080506,False,False,6,6,False,False,False,False,False
0325080568,False,False,6,6,False,False,False,False,False
0325080600,False,False,6,6,False,False,False,False,False
0325080615,False,False,7,7,False,False,False,False,False
0325080660,False,False,6,6,False,False,False,False,False
0325080781,False,False,7,7,False,False,False,False,False
0325081106,False,False,7,7,False,False,False,False,False
0325081113,False,False,6,6,False,False,False,False,False
0325081183,False,False,6,6,False,False,False,False,False
0325081204,False,False,7,7,False,False,False,False,False
0325081379,False,False,8,8,False,False,False,False,False
0325081779,False,False,8,8,False,False,False,False,False
0325081799,False,False,8,8,False,False,False,False,False
0325082379,False,False,7,7,False,False,False,False,False
0325082388,False,False,5,5,False,False,False,False,False
0325082682,False,False,6,6,False,False,False,False,False
0325082799,False,False,7,7,False,False,False,False,False
0325082968,False,False,7,7,False,False,False,False,False
0325083199,False,False,7,7,False,False,False,False,False
0325083239,False,False,6,6,False,False,False,False,False
0325083336,False,False,6,6,False,False,False,False,False
0325083443,False,False,6,6,False,False,False,False,False
0325083889,False,False,6,6,False,False,False,False,False
0325084000,False,False,6,6,False,False,False,False,False
0325084079,False,False,8,8,False,False,False,False,False
0325084168,False,False,8,8,False,False,False,False,False
0325084279,False,False,8,8,False,False,False,False,False
0325084439,False,False,7,7,False,False,False,False,False
0325084639,False,False,8,8,False,False,False,False,False
0325084739,False,False,8,8,False,False,False,False,False
0325084968,False,False,8,8,False,False,False,False,False
0325085366,False,False,6,6,False,False,False,False,False
0325085439,False,False,7,7,False,False,False,False,False
0325085479,False,False,8,8,False,False,False,False,False
0325085539,False,False,6,6,False,False,False,False,False
0325085969,False,False,7,7,False,False,False,False,False
0325086239,False,False,7,7,False,False,False,False,False
0325086345,False,False,7,7,False,False,False,False,False
0325086499,False,False,8,8,False,False,False,False,False
0325086679,False,False,8,8,False,False,False,False,False
0325086939,False,False,7,7,False,False,False,False,False
0325087268,False,False,7,7,False,False,False,False,False
0325087668,False,False,7,7,False,False,False,False,False
0325087988,False,False,7,7,False,False,False,False,False
0325088366,False,False,6,6,False,False,False,False,False
0325088539,False,False,6,6,False,False,False,False,False
0325088639,False,False,7,7,False,False,False,False,False
0325088860,False,False,6,6,False,False,False,False,False
0325088891,False,False,7,7,False,False,False,False,False
0325089039,False,False,6,6,False,False,False,False,False
0325089234,False,False,7,7,False,False,False,False,False
0325089239,False,False,6,6,False,False,False,False,False
0325089279,False,False,7,7,False,False,False,False,False
0325089486,False,False,8,8,False,False,False,False,False
0325089539,False,False,6,6,False,False,False,False,False
0325089739,False,False,7,7,False,False,False,False,False
0325089768,False,False,8,8,False,False,False,False,False
0325090179,False,False,7,7,False,False,False,False,False
0325090204,False,False,6,6,False,False,False,False,False
0325090287,False,False,7,7,False,False,False,False,False
0325090289,False,False,6,6,False,False,False,False,False
0325090297,False,False,6,6,False,False,False,False,False
0325090306,False,False,6,6,False,False,False,False,False
0325090384,False,False,7,7,False,False,False,False,False
0325090401,False,False,7,7,False,False,False,False,False
0325090439,False,False,6,6,False,False,False,False,False
0325090483,False,False,7,7,False,False,False,False,False
0325090486,False,False,8,8,False,False,False,False,False
0325090490,False,False,6,6,False,False,False,False,False
0325090580,False,False,6,6,False,False,False,False,False
0325090581,False,False,7,7,False,False,False,False,False
0325090810,False,False,7,7,False,False,False,False,False
0325090866,False,False,7,7,False,False,False,False,False
0325090881,False,False,7,7,False,False,False,False,False
0325090883,False,False,6,6,False,False,False,False,False
0325090976,False,False,7,7,False,False,False,False,False
0325090985,False,False,6,6,False,False,False,False,False
0325091005,False,False,6,6,False,False,False,False,False
0325091194,False,False,7,7,False,False,False,False,False
0325091239,False,False,6,6,False,False,False,False,False
0325091280,False,False,7,7,False,False,False,False,False
0325091309,False,False,6,6,False,False,False,False,False
0325091391,False,False,6,6,False,False,False,False,False
0325091439,False,False,7,7,False,False,False,False,False
0325091539,False,False,6,6,False,False,False,False,False
0325091579,False,False,7,7,False,False,False,False,False
0325091639,False,False,7,7,False,False,False,False,False
0325091966,False,False,7,7,False,False,False,False,False
0325092772,False,False,6,6,False,False,False,False,False
0325092786,False,False,8,8,False,False,False,False,False
0325093086,False,False,7,7,False,False,False,False,False
0325093139,False,False,6,6,False,False,False,False,False
0325093539,False,False,5,5,False,False,False,False,False
0325093699,False,False,6,6,False,False,False,False,False
0325094168,False,False,9,9,False,False,False,False,False
0325094179,False,False,8,8,False,False,False,False,False
0325094279,False,False,7,7,False,False,False,False,False
0325094286,False,False,8,8,False,False,False,False,False
0325094309,False,False,6,6,False,False,False,False,False
0325094379,False,False,7,7,False,False,False,False,False
0325094768,False,False,9,9,False,False,False,False,False
0325094809,False,False,7,7,False,False,False,False,False
0325094986,False,False,8,8,False,False,False,False,False
0325095039,False,False,5,5,False,False,False,False,False
0325095079,False,False,6,6,False,False,False,False,False
0325095139,False,False,6,6,False,False,False,False,False
0325095295,False,False,5,5,False,False,False,False,False
0325095786,False,False,8,8,False,False,False,False,False
0325096486,False,False,8,8,False,False,False,False,False
0325096639,False,False,6,6,False,False,False,False,False
0325096781,False,False,9,9,False,False,False,False,False
0325096799,False,False,7,7,False,False,False,False,False
0325097268,False,False,8,8,False,False,False,False,False
0325097288,False,False,7,7,False,False,False,False,False
0325097786,False,False,8,8,False,False,False,False,False
0325097838,False,False,7,7,False,False,False,False,False
0325098379,False,False,7,7,False,False,False,False,False
0325098779,False,False,7,7,False,False,False,False,False
0325098885,False,False,6,6,False,False,False,False,False
0325098969,False,False,7,7,False,False,False,False,False
0325099920,False,False,5,5,False,False,False,False,False
0325099923,False,False,5,5,False,False,False,False,False
0325099927,False,False,6,6,False,False,False,False,False
0325100036,False,False,6,6,False,False,False,False,False
0325100405,False,False,6,6,False,False,False,False,False
0325100883,False,False,6,6,False,False,False,False,False
0325100887,False,False,7,7,False,False,False,False,False
0325100968,False,False,8,8,False,False,False,False,False
0325101171,False,False,6,6,False,False,False,False,False
0325101194,False,False,7,7,False,False,False,False,False
0325101277,False,False,6,6,False,False,False,False,False
0325101439,False,False,7,7,False,False,False,False,False
0325101639,False,False,7,7,False,False,False,False,False
0325101970,False,False,7,7,False,False,False,False,False
0325102586,False,False,7,7,False,False,False,False,False
0325103188,False,False,6,6,False,False,False,False,False
0325103234,False,False,6,6,False,False,False,False,False
0325103568,False,False,7,7,False,False,False,False,False
0325103679,False,False,8,8,False,False,False,False,False
0325104139,False,False,7,7,False,False,False,False,False
0325104204,False,False,6,6,False,False,False,False,False
0325104866,False,False,8,8,False,False,False,False,False
0325104939,False,False,7,7,False,False,False,False,False
0325105386,False,False,7,7,False,False,False,False,False
0325105889,False,False,7,7,False,False,False,False,False
0325106186,False,False,7,7,False,False,False,False,False
0325106239,False,False,7,7,False,False,False,False,False
0325106399,False,False,7,7,False,False,False,False,False
0325106539,False,False,7,7,False,False,False,False,False
0325106739,False,False,8,8,False,False,False,False,False
0325106986,False,False,8,8,False,False,False,False,False
0325107772,False,False,6,6,False,False,False,False,False
0325108599,False,False,7,7,False,False,False,False,False
0325108887,False,False,7,7,False,False,False,False,False
0325109386,False,False,8,8,False,False,False,False,False
0325110004,False,False,6,6,False,False,False,False,False
0325110396,False,False,7,7,False,False,False,False,False
0325110488,False,False,7,7,False,False,False,False,False
0325110889,False,False,7,7,False,False,False,False,False
0325110906,False,False,7,7,False,False,False,False,False
0325110983,False,False,7,7,False,False,False,False,False
0325110987,False,False,8,8,False,False,False,False,False
0325111075,False,False,6,6,False,False,False,False,False
0325111082,False,False,6,6,False,False,False,False,False
0325111517,False,False,5,6,False,False,False,False,False
0325111845,False,False,6,7,False,False,False,False,False
0325112486,False,False,7,8,False,False,False,False,False
0325112539,False,False,5,6,False,False,False,False,False
0325112679,False,False,7,8,False,False,False,False,False
0325112799,False,False,6,7,False,False,False,False,False
0325113879,False,False,7,8,False,False,False,False,False
0325114168,False,False,7,8,False,False,False,False,False
0325114588,False,False,6,7,False,False,False,False,False
0325114814,False,False,6,7,False,False,False,False,False
0325114939,False,False,6,7,False,False,False,False,False
0325114988,False,False,7,8,False,False,False,False,False
0325115399,False,False,5,6,False,False,False,False,False
0325116099,False,False,7,7,False,False,False,False,False
0325117669,False,False,7,8,False,False,False,False,False
0325117770,False,False,6,6,False,False,False,False,False
0325118139,False,False,6,7,False,False,False,False,False
0325118566,False,False,6,7,False,False,False,False,False
0325118939,False,False,6,7,False,False,False,False,False
0325119539,False,False,5,6,False,False,False,False,False
0325119739,False,False,6,7,False,False,False,False,False
0325119839,False,False,6,7,False,False,False,False,False
0325120189,False,False,7,7,False,False,False,False,False
0325120215,False,False,5,5,False,False,False,False,False
0325120285,False,False,6,6,False,False,False,False,False
0325120384,False,False,7,7,False,False,False,False,False
0325120691,False,False,7,7,False,False,False,False,False
0325120801,False,False,6,6,False,False,False,False,False
0325120875,False,False,7,7,False,False,False,False,False
0325120920,False,False,6,6,False,False,False,False,False
0325120985,False,False,7,7,False,False,False,False,False
0325121197,False,False,6,7,False,False,False,False,False
0325122786,False,False,7,8,False,False,False,False,False
0325122939,False,False,5,6,False,False,False,False,False
0325123086,False,False,7,7,False,False,False,False,False
0325123773,False,False,5,6,False,False,False,False,False
0325124779,False,False,7,8,False,False,False,False,False
0325124839,False,False,7,8,False,False,False,False,False
0325124879,False,False,8,9,False,False,False,False,False
0325125939,False,False,5,6,False,False,False,False,False
0325126579,False,False,7,8,False,False,False,False,False
0325126586,False,False,6,7,False,False,False,False,False
0325126664,False,False,6,7,False,False,False,False,False
0325127139,False,False,6,7,False,False,False,False,False
0325127268,False,False,7,8,False,False,False,False,False
0325127299,False,False,6,7,False,False,False,False,False
0325127499,False,False,7,8,False,False,False,False,False
0325127686,False,False,7,8,False,False,False,False,False
0325127739,False,False,6,7,False,False,False,False,False
0325127868,False,False,7,8,False,False,False,False,False
0325128202,False,False,6,6,False,False,False,False,False
0325128399,False,False,6,7,False,False,False,False,False
0325129768,False,False,8,9,False,False,False,False,False
0325130239,False,False,6,6,False,False,False,False,False
0325130266,False,False,6,6,False,False,False,False,False
0325130282,False,False,6,6,False,False,False,False,False
0325130330,False,False,5,5,False,False,False,False,False
0325130484,False,False,7,7,False,False,False,False,False
0325130503,False,False,5,5,False,False,False,False,False
0325130507,False,False,6,6,False,False,False,False,False
0325130839,False,False,7,7,False,False,False,False,False
0325130896,False,False,8,8,False,False,False,False,False
0325130902,False,False,6,6,False,False,False,False,False
0325130991,False,False,6,6,False,False,False,False,False
0325131103,False,False,5,5,False,False,False,False,False
0325131114,False,False,5,6,False,False,False,False,False
0325131239,False,False,5,6,False,False,False,False,False
0325131689,False,False,7,8,False,False,False,False,False
0325132068,False,False,7,7,False,False,False,False,False
0325132479,False,False,7,8,False,False,False,False,False
0325132779,False,False,6,7,False,False,False,False,False
0325132839,False,False,6,7,False,False,False,False,False
0325133213,False,False,4,5,False,False,False,False,False
0325133239,False,False,5,6,False,False,False,False,False
0325133314,False,False,5,6,False,False,False,False,False
0325133539,False,False,5,6,False,False,False,False,False
0325133786,False,False,7,8,False,False,False,False,False
0325133968,False,False,7,8,False,False,False,False,False
0325134114,False,False,5,6,False,False,False,False,False
0325134239,False,False,6,7,False,False,False,False,False
0325134388,False,False,6,7,False,False,False,False,False
0325134486,False,False,7,8,False,False,False,False,False
0325134588,False,False,6,7,False,False,False,False,False
0325134968,False,False,8,9,False,False,False,False,False
0325135839,False,False,6,7,False,False,False,False,False
0325136989,False,False,7,8,False,False,False,False,False
0325137486,False,False,8,9,False,False,False,False,False
0325137539,False,False,6,7,False,False,False,False,False
0325137588,False,False,6,7,False,False,False,False,False
0325137679,False,False,7,8,False,False,False,False,False
0325138486,False,False,7,8,False,False,False,False,False
0325138539,False,False,6,7,False,False,False,False,False
0325140107,False,False,7,7,False,False,False,False,False
0325140139,False,False,7,7,False,False,False,False,False
0325140193,False,False,7,7,False,False,False,False,False
0325140200,False,False,6,6,False,False,False,False,False
0325140293,False,False,7,7,False,False,False,False,False
0325140371,False,False,7,7,False,False,False,False,False
0325140379,False,False,8,8,False,False,False,False,False
0325140386,False,False,8,8,False,False,False,False,False
0325140415,False,False,6,6,False,False,False,False,False
0325140501,False,False,6,6,False,False,False,False,False
0325140506,False,False,7,7,False,False,False,False,False
0325140509,False,False,7,7,False,False,False,False,False
0325140578,False,False,8,8,False,False,False,False,False
0325140579,False,False,8,8,False,False,False,False,False
0325140601,False,False,7,7,False,False,False,False,False
0325140660,False,False,7,7,False,False,False,False,False
0325140674,False,False,8,8,False,False,False,False,False
0325140681,False,False,8,8,False,False,False,False,False
0325140711,False,False,7,7,False,False,False,False,False
0325140739,False,False,8,8,False,False,False,False,False
0325140868,False,False,8,8,False,False,False,False,False
0325140879,False,False,9,9,False,False,False,False,False
0325140886,False,False,8,8,False,False,False,False,False
0325141006,False,False,7,7,False,False,False,False,False
0325141078,False,False,8,8,False,False,False,False,False
0325141290,False,False,7,7,False,False,False,False,False
0325141299,False,False,6,7,False,False,False,False,False
0325141339,False,False,6,7,False,False,False,False,False
0325141539,False,False,6,7,False,False,False,False,False
0325141799,False,False,7,8,False,False,False,False,False
0325142079,False,False,8,8,False,False,False,False,False
0325142368,False,False,7,8,False,False,False,False,False
0325142439,False,False,6,7,False,False,False,False,False
0325142488,False,False,6,7,False,False,False,False,False
0325142868,False,False,7,8,False,False,False,False,False
0325143003,False,False,6,6,False,False,False,False,False
0325143168,False,False,7,8,False,False,False,False,False
0325143179,False,False,7,8,False,False,False,False,False
0325143288,False,False,6,7,False,False,False,False,False
0325143331,False,False,5,6,False,False,False,False,False
0325143639,False,False,7,8,False,False,False,False,False
0325143679,False,False,8,9,False,False,False,False,False
0325143714,False,False,6,7,False,False,False,False,False
0325143886,False,False,7,8,False,False,False,False,False
0325143968,False,False,8,9,False,False,False,False,False
0325144279,False,False,7,8,False,False,False,False,False
0325144438,False,False,6,7,False,False,False,False,False
0325144554,False,False,5,6,False,False,False,False,False
0325144588,False,False,6,7,False,False,False,False,False
0325144639,False,False,7,8,False,False,False,False,False
0325144868,False,False,7,8,False,False,False,False,False
0325144879,False,False,8,9,False,False,False,False,False
0325145266,False,False,6,7,False,False,False,False,False
0325145279,False,False,7,8,False,False,False,False,False
0325145379,False,False,7,8,False,False,False,False,False
0325145399,False,False,6,7,False,False,False,False,False
0325145768,False,False,8,9,False,False,False,False,False
0325146168,False,False,7,8,False,False,False,False,False
0325146239,False,False,7,8,False,False,False,False,False
0325146279,False,False,8,9,False,False,False,False,False
0325146379,False,False,8,9,False,False,False,False,False
0325146386,False,False,7,8,False,False,False,False,False
0325147139,False,False,7,8,False,False,False,False,False
0325147199,False,False,7,8,False,False,False,False,False
0325147279,False,False,7,8,False,False,False,False,False
0325147586,False,False,8,9,False,False,False,False,False
0325147886,False,False,8,9,False,False,False,False,False
0325147986,False,False,9,10,False,False,False,False,False
0325148008,False,False,7,7,False,False,False,False,False
0325148399,False,False,7,8,False,False,False,False,False
0325148448,False,False,6,7,False,False,False,False,False
0325148599,False,False,7,8,False,False,False,False,False
0325148639,False,False,8,9,False,False,False,False,False
0325148714,False,False,7,8,False,False,False,False,False
0325148880,False,False,7,7,False,False,False,False,False
0325149168,False,False,8,9,False,False,False,False,False
0325149239,False,False,6,7,False,False,False,False,False
0325149599,False,False,6,7,False,False,False,False,False
0325149788,False,False,8,9,False,False,False,False,False
0325149839,False,False,7,8,False,False,False,False,False
0325149968,False,False,8,9,False,False,False,False,False
0325150008,False,False,6,6,False,False,False,False,False
0325150139,False,False,6,6,False,False,False,False,False
0325150175,False,False,6,6,False,False,False,False,False
0325150195,False,False,6,6,False,False,False,False,False
0325150210,False,False,5,5,False,False,False,False,False
0325150266,False,False,6,6,False,False,False,False,False
0325150392,False,False,6,6,False,False,False,False,False
0325150395,False,False,6,6,False,False,False,False,False
0325150591,False,False,6,6,False,False,False,False,False
0325151187,False,False,6,7,False,False,False,False,False
0325151202,False,False,5,5,False,False,False,False,False
0325151548,False,False,6,7,False,False,False,False,False
0325151768,False,False,7,8,False,False,False,False,False
0325152786,False,False,7,8,False,False,False,False,False
0325153186,False,False,6,7,False,False,False,False,False
0325153379,False,False,6,7,False,False,False,False,False
0325153386,False,False,6,7,False,False,False,False,False
